id,gender,raceeth,sexornt,age,educ5,pid7,ideo,abortion,climate_weather,deathpenalty,photoid,tax_mil,trans_discr,blm_ft,fauci_ft,feminists_ft,nra_ft,police_ft,scotus_ft,socialists_ft
217198,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,72,<HS,3. Independent-Democrat,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,1. Favor a great deal,1. Favor,2. A lot,60,100,60,60,70,60,30
217204,1. Male,"2. Black, non-Hispanic",3. Bisexual,37,some college,4. Independent,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,1. Favor a great deal,1. Favor,2. A lot,50,50,50,20,50,50,20
217211,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,43,post-grad,5. Independent-Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,2. Favor moderately,2. Oppose,1. A great deal,55,85,95,15,70,70,0
217228,1. Male,3. Hispanic,1. Heterosexual or straight,28,bachelors,6. Not very strong Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,2. Favor not strongly,1. Favor a great deal,1. Favor,5. None at all,85,50,50,20,65,90,50
217242,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,36,bachelors,6. Not very strong Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,4. A lot,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,15,60,40,85,70,70,30
217259,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,23,bachelors,5. Independent-Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,2. Favor not strongly,1. Favor a great deal,2. Oppose,4. A little,50,50,50,50,70,60,20
217266,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,77,post-grad,3. Independent-Democrat,3. Slightly liberal,,5. A great deal,2. Favor not strongly,2. Favor moderately,1. Favor,1. A great deal,60,100,70,60,70,40,40
217280,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,73,some college,1. Strong Democrat,2. Liberal,"2. The law should permit abortion only in case of rape, incest, or when the woma",5. A great deal,3. Oppose not strongly,2. Favor moderately,1. Favor,2. A lot,70,85,60,40,60,40,70
217297,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,45,some college,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",2. A little,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,3. A moderate amount,0,0,,100,100,85,0
217303,3. Refused,"1. White, non-Hispanic",,27,HS,5. Independent-Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,2. Favor moderately,1. Favor,2. A lot,100,60,80,90,60,60,30
217334,1. Male,"1. White, non-Hispanic",3. Bisexual,,some college,5. Independent-Republican,6. Conservative,,3. A moderate amount,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,,0,,0,30,50,50,0
217358,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,38,bachelors,6. Not very strong Republican,6. Conservative,"1. By law, abortion should never be permitted",2. A little,1. Favor strongly,2. Favor moderately,3. Neither favor nor oppose,2. A lot,15,70,30,60,85,60,15
217365,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,51,bachelors,2. Not very strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,60,85,100,30,70,40,30
217389,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,30,bachelors,4. Independent,5. Slightly conservative,"1. By law, abortion should never be permitted",1. Not at all,3. Oppose not strongly,1. Favor a great deal,2. Oppose,2. A lot,0,0,40,85,85,60,0
217396,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,bachelors,6. Not very strong Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,3. A moderate amount,100,100,85,30,85,70,30
217419,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,58,some college,7. Strong Republican,7. Extremely conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,0,50,50,100,100,50,0
217426,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,72,HS,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,2. Favor moderately,3. Neither favor nor oppose,1. A great deal,100,100,100,0,30,50,100
217433,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,26,bachelors,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",1. Not at all,1. Favor strongly,2. Favor moderately,1. Favor,5. None at all,0,0,0,100,70,50,0
217471,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,,<HS,4. Independent,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,70,100,60,85,85,50,
217488,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,57,HS,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,7. Oppose a great deal,1. Favor,1. A great deal,85,85,85,40,70,50,70
217495,2. Female,"1. White, non-Hispanic",3. Bisexual,37,some college,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,3. Favor a little,1. Favor,2. A lot,60,50,30,50,60,30,30
217501,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,39,bachelors,1. Strong Democrat,2. Liberal,,5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,70,85,75,0,30,40,30
217525,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,54,<HS,1. Strong Democrat,2. Liberal,"2. The law should permit abortion only in case of rape, incest, or when the woma",,3. Oppose not strongly,3. Favor a little,,,,,,,,,
217532,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,33,some college,6. Not very strong Republican,5. Slightly conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,2. Favor not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,50,60,15,85,80,60,30
217549,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,64,HS,7. Strong Republican,6. Conservative,,5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,4. A little,50,50,40,0,40,40,85
217556,2. Female,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),72,bachelors,1. Strong Democrat,1. Extremely liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,70,100,80,,90,90,
217563,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,61,<HS,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",1. Not at all,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,40,40,70,50,100,60,50
217617,2. Female,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),60,some college,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,7. Oppose a great deal,1. Favor,1. A great deal,100,100,100,0,60,15,60
217624,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,73,some college,5. Independent-Republican,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,4. A little,0,100,30,0,85,85,0
217631,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,59,post-grad,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",2. A little,2. Favor not strongly,1. Favor a great deal,1. Favor,4. A little,60,15,50,100,100,100,0
217648,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,37,some college,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",2. A little,3. Oppose not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,0,60,30,85,85,60,0
217655,1. Male,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),48,bachelors,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,1. A great deal,100,100,100,15,85,60,50
217662,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,58,bachelors,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,85,100,70,15,85,50,0
217679,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,59,post-grad,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,90,95,80,20,70,50,50
217686,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,64,HS,1. Strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",,1. Favor strongly,1. Favor a great deal,,,,,,,,,
217709,1. Male,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,71,bachelors,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",1. Not at all,2. Favor not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,15,50,50,50,85,100,0
217730,2. Female,3. Hispanic,,76,,4. Independent,2. Liberal,,3. A moderate amount,,,3. Neither favor nor oppose,3. A moderate amount,60,60,60,60,60,60,60
217747,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,32,some college,4. Independent,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,1. Favor strongly,2. Favor moderately,2. Oppose,4. A little,50,50,50,85,50,85,50
217754,1. Male,3. Hispanic,1. Heterosexual or straight,39,<HS,4. Independent,4. Moderate; middle of the road,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,75,70,50,50,0,60,50
217761,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,64,some college,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,1. Favor strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,85,85,100,0,85,40,60
217785,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,69,bachelors,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,7. Oppose a great deal,1. Favor,2. A lot,85,100,85,0,70,60,70
217792,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,38,bachelors,5. Independent-Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,3. Oppose not strongly,1. Favor a great deal,1. Favor,2. A lot,50,55,55,40,85,80,40
217808,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,68,some college,4. Independent,6. Conservative,,3. A moderate amount,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,40,60,50,50,85,60,30
217815,1. Male,"1. White, non-Hispanic",,40,bachelors,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,7. Oppose a great deal,1. Favor,2. A lot,0,100,50,50,50,15,70
217822,2. Female,3. Hispanic,3. Bisexual,30,some college,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,2. Favor moderately,1. Favor,1. A great deal,100,70,100,40,15,30,70
217839,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,30,bachelors,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,100,100,100,0,40,70,80
217846,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,64,HS,6. Not very strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,30,,50,80,80,60,50
217853,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,69,some college,7. Strong Republican,7. Extremely conservative,"1. By law, abortion should never be permitted",2. A little,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,3. A moderate amount,0,0,30,100,70,50,0
217860,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,62,HS,1. Strong Democrat,1. Extremely liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,,85,100,100,0,85,50,85
217877,2. Female,3. Hispanic,1. Heterosexual or straight,22,some college,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,6. Oppose moderately,3. Neither favor nor oppose,2. A lot,100,50,100,,0,50,50
217884,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,53,some college,5. Independent-Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",,3. Oppose not strongly,1. Favor a great deal,,,,,,,,,
217891,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,53,HS,7. Strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,2. Favor not strongly,1. Favor a great deal,2. Oppose,3. A moderate amount,0,0,50,85,70,60,0
217907,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,39,some college,6. Not very strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",,1. Favor strongly,1. Favor a great deal,,,,,,,,,
217914,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,41,some college,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,100,100,85,50,85,100,
217938,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,64,post-grad,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,6. Oppose moderately,1. Favor,2. A lot,75,85,75,20,70,60,50
217945,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,66,HS,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,2. A lot,100,70,70,50,85,30,50
217952,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,64,<HS,7. Strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,0,50,50,85,85,60,50
217969,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,53,some college,2. Not very strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,0,50,50,0,85,85,65
217976,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,70,bachelors,7. Strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,50,50,85,100,100,85,0
217983,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,55,post-grad,6. Not very strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,2. A lot,50,70,50,100,70,80,0
217990,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,53,some college,5. Independent-Republican,7. Extremely conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,1. Favor strongly,1. Favor a great deal,1. Favor,4. A little,0,40,30,70,85,50,0
218016,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,38,HS,5. Independent-Republican,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,2. A lot,0,50,50,100,100,50,50
218023,2. Female,3. Hispanic,1. Heterosexual or straight,35,some college,4. Independent,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,2. Favor not strongly,4. Neither favor nor oppose,2. Oppose,5. None at all,70,30,85,,50,40,
218030,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,37,some college,4. Independent,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,2. Favor not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,30,70,70,60,85,85,
218047,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,50,bachelors,4. Independent,6. Conservative,,4. A lot,2. Favor not strongly,1. Favor a great deal,1. Favor,2. A lot,85,100,85,15,70,70,70
218054,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,56,some college,7. Strong Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,1. Favor strongly,1. Favor a great deal,1. Favor,4. A little,50,50,40,70,50,60,40
218061,1. Male,"2. Black, non-Hispanic",1. Heterosexual or straight,43,HS,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,1. A great deal,80,90,50,60,50,70,65
218078,1. Male,3. Hispanic,1. Heterosexual or straight,27,some college,4. Independent,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,1. Favor strongly,4. Neither favor nor oppose,3. Neither favor nor oppose,1. A great deal,70,50,80,55,,0,
218085,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,36,post-grad,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,4. Neither favor nor oppose,1. Favor,1. A great deal,50,85,70,15,70,15,50
218092,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,51,some college,7. Strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,4. A lot,2. Favor not strongly,1. Favor a great deal,1. Favor,4. A little,,40,50,100,100,60,
218108,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,37,some college,6. Not very strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,70,60,100,50,85,85,40
218122,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,52,post-grad,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,3. Oppose not strongly,2. Favor moderately,1. Favor,3. A moderate amount,70,85,85,40,85,85,70
218139,1. Male,3. Hispanic,1. Heterosexual or straight,61,<HS,3. Independent-Democrat,2. Liberal,,5. A great deal,1. Favor strongly,2. Favor moderately,2. Oppose,1. A great deal,86,100,85,70,85,40,15
218146,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,42,post-grad,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,2. Favor moderately,1. Favor,1. A great deal,85,100,90,0,40,40,60
218160,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,69,HS,6. Not very strong Republican,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,80,100,50,80,100,70,50
218177,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,some college,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,3. Oppose not strongly,1. Favor a great deal,1. Favor,4. A little,50,100,50,50,70,50,
218184,1. Male,,,80,<HS,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,3. Favor a little,2. Oppose,3. A moderate amount,60,50,85,85,60,50,50
218207,3. Refused,,,,,3. Independent-Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,3. A moderate amount,1. Favor strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,50,85,85,50,70,70,40
218214,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,56,bachelors,6. Not very strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,,1. Favor strongly,1. Favor a great deal,,,,,,,,,
218221,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,35,post-grad,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,60,85,70,15,40,30,50
218238,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,post-grad,5. Independent-Republican,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,1. Favor strongly,2. Favor moderately,2. Oppose,3. A moderate amount,45,90,35,60,60,85,45
218245,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,47,HS,7. Strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",2. A little,2. Favor not strongly,2. Favor moderately,2. Oppose,3. A moderate amount,0,60,50,85,100,100,0
218252,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,80,post-grad,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,70,85,70,30,85,50,40
218283,2. Female,"5. Native American/Alaska Native or other race, non-Hispanic alone",1. Heterosexual or straight,50,some college,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,2. Favor moderately,1. Favor,1. A great deal,85,85,85,40,70,60,60
218290,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,61,some college,2. Not very strong Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,2. A lot,85,100,50,70,40,70,0
218306,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,43,bachelors,5. Independent-Republican,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,4. Oppose strongly,3. Favor a little,1. Favor,3. A moderate amount,47,49,48,40,55,55,35
218313,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,50,bachelors,6. Not very strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,1. Favor a great deal,3. Neither favor nor oppose,1. A great deal,0,85,85,90,90,50,0
218320,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,53,some college,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,1. Not at all,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,100,100,50,0,50,50,0
218337,2. Female,3. Hispanic,1. Heterosexual or straight,59,some college,1. Strong Democrat,5. Slightly conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,1. Favor strongly,2. Favor moderately,1. Favor,3. A moderate amount,15,70,60,85,85,85,
218344,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,69,post-grad,3. Independent-Democrat,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,1. Favor a great deal,1. Favor,1. A great deal,30,85,70,30,85,50,
218368,1. Male,3. Hispanic,1. Heterosexual or straight,39,HS,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",1. Not at all,1. Favor strongly,1. Favor a great deal,2. Oppose,1. A great deal,0,0,60,100,100,100,0
218375,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,60,HS,7. Strong Republican,5. Slightly conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,1. Favor strongly,1. Favor a great deal,2. Oppose,3. A moderate amount,20,55,20,90,90,70,0
218382,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,47,bachelors,7. Strong Republican,7. Extremely conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,3. A moderate amount,5,45,40,55,85,75,5
218399,1. Male,"1. White, non-Hispanic",3. Bisexual,50,some college,4. Independent,6. Conservative,,,3. Oppose not strongly,4. Neither favor nor oppose,,,,,,,,,
218405,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,HS,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,3. Oppose not strongly,1. Favor a great deal,2. Oppose,4. A little,0,50,50,70,85,70,0
218412,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,57,HS,6. Not very strong Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,50,85,60,70,85,70,4
218429,1. Male,3. Hispanic,2. Homosexual or gay (or lesbian),34,post-grad,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,4. Neither favor nor oppose,1. Favor,2. A lot,40,70,85,40,85,50,100
218436,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,59,some college,7. Strong Republican,6. Conservative,"1. By law, abortion should never be permitted",1. Not at all,1. Favor strongly,1. Favor a great deal,2. Oppose,4. A little,0,25,0,85,95,50,0
218443,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,bachelors,6. Not very strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",1. Not at all,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,3. A moderate amount,0,50,50,85,100,86,0
218450,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,63,some college,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,1. A great deal,70,100,60,60,85,50,50
218467,1. Male,"1. White, non-Hispanic",2. Homosexual or gay (or lesbian),36,bachelors,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,2. Favor moderately,1. Favor,2. A lot,85,85,100,15,40,40,60
218474,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,31,bachelors,7. Strong Republican,5. Slightly conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,2. Favor not strongly,4. Neither favor nor oppose,3. Neither favor nor oppose,4. A little,40,30,50,65,55,55,15
218481,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,76,bachelors,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,15,50,40,85,85,85,30
218504,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,61,HS,5. Independent-Republican,6. Conservative,"1. By law, abortion should never be permitted",3. A moderate amount,1. Favor strongly,1. Favor a great deal,3. Neither favor nor oppose,1. A great deal,0,60,30,100,100,60,15
